City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Arraial Do Cabo,BR,2022-11-16 22:02:59,-22.9661,-42.0278,72.46,86,95,16.67
161,Morros,BR,2022-11-16 22:02:59,-9.4467,-46.3003,74.68,79,84,6.62
162,Pimentel,PE,2022-11-16 22:03:00,-6.8367,-79.9342,65.25,82,43,16.37
163,Camabatela,AO,2022-11-16 22:03:00,-8.1881,15.375,61.86,87,100,1.81
164,Surman,LY,2022-11-16 22:03:00,32.7567,12.5716,67.77,29,0,11.12
165,Tauramena,CO,2022-11-16 22:03:00,5.0183,-72.7492,78.17,83,100,1.81
166,Gambo,CF,2022-11-16 22:03:01,4.6482,22.2633,68.97,73,100,1.05
167,Hualmay,PE,2022-11-16 22:03:01,-11.0964,-77.6139,66.72,78,90,9.06
168,Mount Gambier,AU,2022-11-16 22:01:52,-37.8333,140.7667,55.24,63,49,3.33
169,Torbay,CA,2022-11-16 22:00:23,47.6666,-52.7314,33.58,78,73,1.01
170,Tiznit,MA,2022-11-16 22:03:01,29.5833,-9.5,64.96,30,59,0.76
171,Bambous Virieux,MU,2022-11-16 22:03:01,-20.3428,57.7575,69.22,64,0,5.82
172,Lompoc,US,2022-11-16 22:03:02,34.6391,-120.4579,76.01,26,0,9.22
173,Biala Podlaska,PL,2022-11-16 21:59:22,52.0324,23.1165,34.5,78,100,15.37
174,Nyurba,RU,2022-11-16 22:03:02,63.2842,118.3319,2.77,97,100,3.83
175,Alice Springs,AU,2022-11-16 22:00:15,-23.7,133.8833,62.15,94,40,5.75
176,George Town,MY,2022-11-16 22:03:02,5.4112,100.3354,80.24,90,20,0.0
177,Gat,IL,2022-11-16 22:03:03,31.61,34.7642,64.4,100,40,4.5
178,Klaksvik,FO,2022-11-16 22:03:03,62.2266,-6.589,49.12,88,79,33.42
179,Custoias,PT,2022-11-16 22:03:04,41.1053,-7.321,58.14,92,100,6.69
180,Saint-Denis,FR,2022-11-16 22:03:04,48.9167,2.3333,55.56,92,100,29.93
181,Zhigansk,RU,2022-11-16 22:03:04,66.7697,123.3711,-19.25,91,100,11.01
182,Coahuayana,MX,2022-11-16 22:04:04,18.7333,-103.6833,86.7,58,0,4.88
183,Touros,BR,2022-11-16 22:02:03,-5.1989,-35.4608,79.03,68,4,13.6
184,Kismayo,SO,2022-11-16 22:04:05,-0.3582,42.5454,78.66,82,6,10.42
185,Sao Felix Do Xingu,BR,2022-11-16 22:04:05,-6.6447,-51.995,74.97,95,100,1.36
186,Port Alfred,ZA,2022-11-16 22:04:05,-33.5906,26.891,62.19,94,66,3.0
187,Pathein,MM,2022-11-16 22:04:06,16.7833,94.7333,72.66,84,9,4.25
188,Ler,SS,2022-11-16 22:04:06,8.3018,30.1418,76.01,40,55,3.83
189,Nanortalik,GL,2022-11-16 22:04:06,60.1432,-45.2371,20.3,77,60,20.8
190,Lagoa,PT,2022-11-16 22:04:07,39.05,-27.9833,62.8,81,25,17.4
191,Kiunga,PG,2022-11-16 22:04:07,-6.1219,141.2906,76.17,97,100,0.72
192,Saskylakh,RU,2022-11-16 22:04:08,71.9167,114.0833,-27.65,99,99,5.28
